File,Sample,cn_HOR_Ymin
R84,B6JEiJ,28.63662223
R94,B10ScNHsd,28.77114874
R124,B6NHsd,21.89659137
R104,B6NTac,28.92108857
R52,B6NJ,20.58688265
R134,B6NTyrCBrdCrlCrl,30.30321562
R144,B6JBomTac,29.80160421
R2,B6J,26.39368858
R42,B10ScCr,20.03650647
R32,B10SnJ,26.36345902
R72,B6ByJ,27.44637001
R114,B6NCrl,28.15000822
R22,B10ScSnJ,25.73320481
R62,B10J,28.53048836
