R104,BL6/NTac
R114,BL6/NCrl
R124,BL6/NHsd
R134,BL6N-TyrCBrdCrlCrl
R144,BL6/JBomTac
R2,BL6/J
R22,BL10/ScSnJ
R32,BL10/SnJ
R42,BL10/ScCr
R52,BL6/NJ
R62,BL10/J
R72,BL6/ByJ
R84,BL6/JEiJ
R94,BL10/ScNHsd
