Sample,nearest_node,gens
B6ByJ,7,207
B6JBomTac,13,116
B6JEiJ,12,168
B6NTyrCBrdCrlCrl,11,64
B6J,13,116
B6NHsd,9,138
B6NCrl,8,177
B6NTac,10,103
B6NJ,11,64
B10J,5,138
B10SnJ,2,294
B10ScNHsd,5,138
B10ScSnJ,3,268
B10ScCr,4,233
