Sample,cn_major,cn_minor
B6JEiJ,1048990.806,123362.6181
B10ScNHsd,1060820.069,135657.4771
B6NHsd,1317473.597,129958.3714
B6NTac,1207882.215,136154.8246
B6NJ,1031331.858,129371.017
B6NTyrCBrdCrlCrl,1239977.059,137196.5075
B6JBomTac,999881.6569,130793.6919
B6J,1118980.786,124911.4758
B10ScCr,1068572.966,128685.1911
B10SnJ,923277.802,129302.9554
B6ByJ,1069595.903,125996.3371
B6NCrl,954977.0094,123889.8644
B10ScSnJ,971019.3256,133243.0461
B10J,1056396.035,143527.1847
